epoch,train_loss,val_loss,avg_acc,atomic_acc,simple-context_acc,complex-context_acc,communicative_acc,transportive_acc,best_score,lr,wall_time_s
1,2.058811,1.213546,0.878403,0.830455,0.696947,0.994369,0.890265,0.979980,0.878403,6.896104e-05,1800.35
2,0.634398,-0.205265,0.878303,0.830455,0.696446,0.994369,0.890265,0.979980,0.878403,1.523494e-04,1728.48
3,-0.748222,-1.403364,0.879815,0.837262,0.697197,0.994369,0.890265,0.979980,0.879815,2.801025e-04,1708.55
4,-2.771785,-2.536475,0.896742,0.901126,0.720596,0.992367,0.889765,0.979855,0.896742,4.368043e-04,3780.65
5,-5.156932,-0.420569,0.902237,0.909710,0.744369,0.992868,0.884384,0.979855,0.902237,6.035454e-04,3834.76
6,-6.133985,3.378790,0.897082,0.912212,0.731106,0.993994,0.885636,0.962462,0.902237,7.602050e-04,3787.13
7,-6.717154,9.113369,0.897768,0.893368,0.737112,0.993619,0.885135,0.979605,0.902237,8.878788e-04,3781.93
8,-6.278558,6.387371,0.893033,0.895470,0.728604,0.993243,0.868869,0.978979,0.902237,9.711603e-04,3783.67
9,-5.598441,1.875850,0.895495,0.897648,0.728729,0.992117,0.885511,0.973473,0.902237,1.000000e-03,3713.69
10,-7.216863,6.748742,0.896997,0.892643,0.734860,0.989990,0.887513,0.979980,0.902237,9.943918e-04,3762.54
